T;P;F
4.688951992;0.00725;137.9310345
4.701918125;0.00725;137.9310345
5.029693672;0.005854166667;170.8185053
5.345617969;0.005770833333;173.2851986
5.411514336;0.006729166667;148.6068111
5.478609492;0.003645833333;274.2857143
5.572957266;;
5.606024258;0.0056875;175.8241758
5.749178008;0.006875;145.4545455
5.77144875;;
5.790357305;0.00375;266.6666667
5.810404141;0.007291666667;137.1428571
5.831123086;0.003354166667;298.136646
5.85123707;;
5.89085793;;
5.903774609;;
5.917357109;;
5.929898633;;
5.976697148;;
5.993145391;;
6.007692148;;
6.042668555;0.0064375;155.3398058
6.055744102;0.0064375;155.3398058
6.068605664;0.0040625;246.1538462
6.114457422;0.004833333333;206.8965517
6.133190742;0.006;166.6666667
6.155361367;0.0003958333333;2526.315789
6.175030156;0.003708333333;269.6629213
6.195269141;0.0035;285.7142857
6.310469687;0.004708333333;212.3893805
6.405364531;0.007333333333;136.3636364
6.635620898;0.005895833333;169.6113074
6.750298828;0.000125;8000
6.810851445;0.002729166667;366.4122137
6.831317305;0.000125;8000
6.850662656;0.002729166667;366.4122137
6.89061707;0.000125;8000
6.922921406;0.000125;8000
6.938819375;0.000125;8000
6.952469023;0.000125;8000
6.968727656;0.000125;8000
7.002773828;0.000125;8000
7.018634102;0.000125;8000
7.032043008;0.000125;8000
7.050574961;0.0002083333333;4800
7.326385586;0.004958333333;201.6806723
7.370161602;;
7.625912695;;
7.717174805;;
7.757916641;;
7.777315664;;
7.796106719;;
7.814430117;0.0056875;175.8241758
7.854331172;;
7.890695937;0.003270833333;305.7324841
7.967067891;0.003333333333;300
7.985405898;0.004916666667;203.3898305
8.036345508;0.004604166667;217.1945701
8.056118828;0.003395833333;294.4785276
8.075153242;0.005583333333;179.1044776
8.094038555;0.0031875;313.7254902
8.110830742;0.0049375;202.5316456
8.128797344;;
8.190866602;;
8.208843086;;
8.274899648;0.004479166667;223.255814
8.294808789;0.0015625;640
8.331370586;;
9.398570977;;
9.650747305;0.005083333333;196.7213115
9.669960273;;
9.686859062;;
9.733453633;;
9.746918906;;
9.760720469;;
9.792304062;;
9.812263008;0.0024375;410.2564103
9.860120586;;
9.877547656;0.0002916666667;3428.571429
9.895868906;0.003125;320
9.914578477;0.003;333.3333333
9.933670781;0.005291666667;188.976378
9.951531289;;
10.0362441;0.0065;153.8461538
10.44292801;0.007104166667;140.7624633
10.54954617;0.003354166667;298.136646
10.5699625;0.007;142.8571429
10.58909961;0.007;142.8571429
